"Winner","B_avg_SUB_ATT","B_avg_TD_att","B_avg_HEAD_landed","B_avg_BODY_landed","B_avg_LEG_landed","B_avg_GROUND_landed","B_avg_CTRL_time.seconds.","B_age","R_avg_SUB_ATT","R_avg_TD_att","R_avg_HEAD_landed","R_avg_BODY_landed","R_avg_LEG_landed","R_avg_GROUND_landed","R_avg_CTRL_time.seconds.","R_age"
"Red",1.138549805,0.029541016,21.05322266,2.464355469,12.84350586,1.91796875,55.61914063,30,0.03918457,4.913161278,44.51269722,9.802548409,6.585764885,13.95522308,188.5194769,32
"Red",0.91015625,1.97265625,48.61132813,13.86914063,1.095703125,0.755859375,89.63476563,32,0.25,8,30.25,12,10.5,5.75,121.5,31
"Blue",0.314208984,2.279418945,14.20397949,4.395263672,6.82421875,7.635131836,116.4908447,33,0.3125,1.663085938,26.10644531,14.16088867,3.869140625,13.3269043,100.7416992,38
"Red",3.05e-05,1.703158379,26.2491703,16.75414324,11.33315563,2.680465698,68.57469702,34,0.125,3,31.5,11.5,2.875,10.15625,121.8125,28
"Blue",0.0625,5.120117188,25.35449219,10.54833984,2.552246094,10.1328125,313.0400391,30,0.03125,0.625,24.875,8.63671875,9.60546875,1.9453125,27.75,33
"Red",0.001953125,0.410400391,8.892089844,2.938476563,0.287353516,3.412109375,12.84667969,36,0.12890625,5.543624878,31.98564148,9.112716675,7.282501221,14.09309387,286.1758728,39
"Red",1.385742188,1.006103516,24.90600586,11.08935547,12.62768555,8.869140625,79.46484375,27,0.125,0.3125,20.875,3.375,5.5625,3,72.875,22
"Red",0.28515625,14.03222656,23.125,2.305664063,0.518554688,13.41113281,550.5927734,26,0.0625,10.3125,30,7.125,3.8125,3.0625,159.1875,27
"Red",0.574230194,4.207038879,6.978475571,6.167455673,0.908754349,0.477466583,89.39539719,37,0.047363281,0.758544922,44.44165039,10.15722656,7.0390625,2.553466797,173.6186523,38
"Blue",1.477096558,5.514198303,28.3374176,3.995239258,0.023452759,8.061126709,169.1827469,40,0.752929688,0.967285156,20.43066406,9.864746094,13.48193359,2.749023438,54.50537109,31
"Blue",0.000244141,0.361206055,17.77526855,3.433837891,2.04284668,8.067260742,44.19909668,31,0,2.25,13.125,15,2.5,1.75,69.5,27
"Red",0.015842975,0.261399886,15.92614572,4.882711198,3.933416463,0.834676181,5.317916618,37,0.37714386,0.042304993,23.29602814,8.924934387,4.682151794,2.10559082,37.72558594,33
"Red",0.165039063,6.721313477,44.97393799,15.53833008,9.300323486,13.9821167,277.3697815,42,1.618164063,1.955078125,4.848632813,4.413085938,0.749023438,1.62109375,238.6445313,42
"Blue",0,0.25,42.3125,9.09375,4.65625,6.78125,2.71875,32,0.001962667,2.011848049,22.68793926,6.854798236,4.478662461,12.80287801,168.4812889,33
"Blue",0,0.03125,24.71875,2,13.40625,1.15625,17.875,31,0.386535645,0.171173096,64.31912231,21.08126831,18.08624268,3.038482666,2.844482422,36
"Red",0,0,31.75,8.125,8.75,2,5.5,32,0.03515625,0.03125,6.528320313,0.948242188,1.727539063,3.186523438,4.181640625,33
"Red",0.03125,7.75,60.625,9.3125,16.125,2.53125,85.5625,35,0.500976563,3.916992188,46.89941406,10.52246094,3.283203125,18.45898438,154.0224609,33
"Red",0.05078125,1.220703125,12.20117188,2.408203125,2.181640625,6.51953125,43.63476563,30,0.383789063,0.029785156,35.05932617,7.325439453,31.67333984,1.651611328,9.314697266,28
"Red",0.0625,1.28125,28.96875,5.53125,2.90625,9.34375,101.3125,33,0.1328125,0.40625,13.625,1.9921875,4.9765625,0.9453125,13.15625,30
"Blue",1.153320313,2.789550781,16.29199219,11.43115234,7.133300781,5.134277344,200.4199219,28,0,0,2.625,0.125,0.875,1.375,11.5,27
"Blue",0.628417969,4.558837891,18.40795898,7.790527344,11.6484375,7.270263672,228.9816895,33,0.759820363,4.55353328,26.66396974,12.59741266,0.055460576,2.01879026,167.611663,42
"Blue",0.508831918,0.860120952,11.44975394,4.512894452,3.270721197,3.099961638,34.88267422,30,0.032897949,5.498352051,35.67196655,5.995117188,1.596954346,10.26974487,243.7309265,27
"Red",0,0.0390625,41.52786255,11.12701416,28.51968384,0.12991333,4.56652832,34,0.578201294,1.405483246,18.52118301,7.977470398,3.608123779,0.830177307,57.93288994,41
"Red",0,6.21875,40.71875,20.875,15.0625,12.3125,176.1875,31,1.001068115,3.345916748,15.10638428,6.625183105,3.896789551,7.549499512,211.5796814,30
"Red",0,2.192382813,45.10644531,6.680175781,17.83740234,3.918945313,36.46337891,31,0.078369141,2.826322556,33.02539444,7.605096817,7.17152977,5.910446167,71.03895378,32
"Red",0,5.793945313,72.41357422,12.51367188,15.85888672,6.078125,99.21191406,42,0.53125,0.078125,37.875,9.34375,14.390625,3.75,16.46875,30
"Red",0.7578125,5.921875,38.2578125,25.6796875,5.515625,1.84375,197.03125,34,0.0440979,2.745758057,19.61636353,3.028778076,5.233215332,5.626342773,173.1366882,32
"Blue",0,2.25,25.25,10,3.125,14.125,304.5,27,0,2.75,27.609375,6.890625,0.609375,10.265625,61.015625,26
"Blue",0.080078125,0.682617188,46.41845703,5.486816406,15.89868164,11.98339844,80.83007813,30,0.005859375,1.141357422,34.16357422,8.208740234,10.00317383,4.184814453,107.0720215,35
"Red",0.03515625,0.1484375,14.69848633,4.395263672,1.158935547,1.819091797,19.3828125,32,0.40625,1.8125,15.2578125,7.875,10.6953125,5.0625,65.9453125,27
"Blue",0.070800781,0.475830078,26.72363281,9.881835938,13.97094727,1.498291016,31.26977539,36,0,5.64440918,26.32897949,4.909301758,1.765991211,6.348022461,121.9515381,30
"Blue",0.01171875,2.1796875,40.375,7.1875,5.23046875,12.55859375,250.5429688,36,0.826400043,0.771532506,3.001593163,0.54534731,1.666655633,0.572921497,19.32902084,36
"Red",0.329101563,2.927734375,62.27539063,8.055664063,9.108398438,4.506835938,185.8652344,33,0,1.125,21.25,3.25,1.125,6.25,179.625,27
"Red",0.125976563,4.159179688,18.06494141,2.881347656,3,2.400390625,79.85253906,36,0,1.74874115,14.15454102,5.756942749,2.05178833,1.502799988,69.48986816,35
